driver,custid,location,club_name,starts,wins,avg_start_pos,avg_finish_pos,avg_points,top25pcnt,laps,lapslead,avg_inc,class,irating,ttrating,tot_clubpoints,champpoints
Aaron Vazquezz,598355,ES,N/A,107,62,3,2,212,96,1178,558,4.52,P 2.55,11211,1300,1666,22706
Gustavo Ariel,114405,BR,N/A,13,5,6,6,228,11,370,48,4.46,P 4.18,10931,1350,87,2968
Yohann Harth,269106,FR,N/A,16,8,6,2,187,16,266,135,3.25,A 4.22,10488,1350,208,2988
Sota Muto,165169,JP,N/A,4,0,12,11,309,1,142,0,6,A 4.30,10479,1350,0,1235
Alxander Spetz,548968,SE,N/A,6,3,7,9,190,3,51,23,9.67,A 1.08,10413,1350,0,1141
Gianni Lutzu,438236,AU,N/A,36,34,1,1,141,35,300,287,0.36,A 4.99,10349,1350,24,5084
Dominik Hofmann,334578,AT,N/A,11,2,14,6,123,8,154,16,7.73,B 2.40,10303,1350,144,1356
Parker White,410511,US,N/A,1,1,1,1,102,1,8,8,0,A 4.99,10241,1350,0,102
Owen Caryl,559940,GB,N/A,2,2,2,1,176,2,30,30,9,A 2.07,10233,1350,41,352
Alejandro SÃ¡nchez,219108,ES,N/A,25,12,4,3,267,22,340,213,4.52,A 2.49,10232,1350,466,6678
Patrik Holzmann,137413,DE,N/A,1,0,11,21,40,0,9,0,18,A 3.40,10224,1350,0,40
Diogo C. Pinto,352055,PT,N/A,6,2,4,4,356,5,193,45,4.67,P 4.16,10215,1350,24,2133
Luca Kita,486209,DE,N/A,5,0,12,12,161,1,39,0,10.2,A 2.03,10181,1350,41,807
Damon Woods,584391,AU,N/A,56,25,4,3,169,46,643,254,3.23,P 2.45,10108,1318,521,9447
Adam Miles,28523,GB,N/A,275,188,2,2,159,252,3579,2368,3.57,B 4.99,10075,1307,3466,43846
Phil Denes,138679,US,N/A,2,2,1,1,156,2,23,23,2,A 4.99,10073,1350,25,311
Cam Ebben,160282,US,N/A,98,75,2,2,143,87,807,388,1.44,A 3.86,10050,1350,219,14012
Nicolas Mateo,424000,ES,N/A,23,9,3,5,163,17,238,88,9.09,B 2.15,10020,1350,333,3738
Alessandro Bico,369995,IT,N/A,1,0,2,2,121,1,13,10,8,A 3.93,10000,1350,5,121
Beckham Jacir,513181,US,N/A,27,8,10,7,163,20,219,93,5.33,C 3.84,9940,1350,174,4410
Atte Kauppinen,408090,FI,N/A,8,0,10,10,145,4,70,4,11.63,B 1.21,9924,1350,41,1157
David Gaspers,121975,DE,N/A,2,1,1,2,121,2,17,9,4,A 3.30,9922,1350,0,241
Luke McKeown,487300,GB,N/A,25,5,6,7,240,16,430,77,6.12,P 1.85,9921,1350,227,5995
Vasilios Beletsiotis,463477,DE,N/A,3,0,8,18,44,0,22,0,7.67,A 4.69,9920,1350,0,133
Benny Simonsen,55618,DK,N/A,62,48,1,2,159,57,824,526,4.6,A 2.29,9890,1350,628,9858
Elvis Rankin,220097,US,N/A,11,3,3,2,282,11,162,54,5.82,A 2.58,9830,1350,225,3098
Martin KadleÄÃ­k,657544,CZ,N/A,36,15,2,3,263,30,456,241,6.14,B 3.94,9752,1350,222,9480
Shoma Shintani,480179,JP,N/A,1574,1133,2,3,143,1383,17607,12830,2.8,A 4.99,9723,1464,12752,224955
Rainer Talvar,373516,EE,N/A,8,5,3,3,138,6,129,74,11.13,A 2.13,9721,1350,135,1105
NicolÃ¡s Rubilar,347135,CL,N/A,17,6,5,6,205,11,223,79,3.82,A 3.47,9681,1350,244,3486
Ryan  Barneveld,383318,NL,N/A,1,1,1,1,117,1,10,10,1,A 4.52,9606,1350,10,117
Dries Van Langendonck,704395,BE,N/A,446,247,3,3,178,379,5236,2653,5.03,B 2.33,9563,1417,7597,79303
Josh Thompson,219696,GB,N/A,2,0,17,20,169,0,39,0,5,A 3.84,9529,1350,0,337
Jaidyn J Ladic,400723,AU,N/A,41,26,3,3,195,35,594,324,6.71,P 2.10,9502,1309,762,8001
Sebastian Job,119101,GB,N/A,1,0,10,9,148,0,16,0,13,A 2.93,9482,1350,8,148
Peter Berryman,133616,GB,N/A,14,8,5,5,246,11,931,578,2.64,A 4.99,9477,1350,124,3448
Florian A Lebigre,391777,FR,N/A,4,0,8,7,362,2,142,1,2.5,A 4.99,9468,1350,0,1449
Agustin Canapino,101152,AR,N/A,9,2,2,2,238,9,430,32,6.78,A 4.07,9456,1350,157,2141
Daniel Lafuente,282014,ES,N/A,3,0,5,13,83,1,28,0,13,A 3.31,9439,1350,19,249
Sam Kuitert,349143,NL,N/A,4,0,12,12,280,2,120,0,9.75,A 4.10,9429,1350,0,1118
Andreas J Henkel,531500,DE,N/A,100,90,1,1,183,98,2520,2202,3.94,A 4.17,9424,1350,1945,18292
Carlos  Fenollosa,318053,ES,N/A,9,5,2,5,187,8,103,61,3.11,A 4.27,9421,1350,136,1679
Matt J Farrow,152586,GB,N/A,2,1,2,5,128,1,22,11,6,A 3.06,9409,1350,22,256
Casey Kirwan,82554,US,N/A,1,0,1,2,294,1,40,31,0,A 4.84,9408,1350,19,294
Jaden Munoz,496280,US,N/A,79,26,4,5,206,57,1953,796,6.63,A 3.02,9405,1350,1027,16288
Lasse Bak,270254,DK,N/A,5,0,14,8,110,3,58,0,10.2,A 1.31,9404,1350,15,552
Raphael Rennhofer,251942,AT,N/A,2,0,14,5,218,1,21,0,5.5,A 4.22,9402,1350,35,435
Marcos NÃºÃ±ez,300973,ES,N/A,8,4,6,6,195,6,333,119,3.38,A 4.99,9394,1350,20,1562
Michele Costantini,258728,IT,N/A,6,1,10,6,338,4,222,49,6.5,P 3.48,9382,1350,23,2027
Moreno Sirica,165200,IT,N/A,4,0,20,24,104,0,117,0,5,A 4.42,9378,1350,0,414
Nathan S Lewis,303828,US,N/A,1,1,1,1,137,1,19,19,0,A 4.99,9361,1350,27,137
Cooper Webster,161668,AU,N/A,16,6,10,5,182,12,347,134,3.81,A 3.68,9353,1350,208,2910
Sam Devantier,256412,AU,N/A,1013,760,2,2,140,933,11515,8004,2.18,A 3.65,9351,1584,8065,141316
Michael Romanidis,525659,GR,N/A,31,2,9,9,196,11,520,20,5.87,A 2.87,9346,1350,237,6062
Przemyslaw Marek Lemanek,423528,PL,N/A,6,4,2,1,159,6,94,51,8.17,A 2.19,9324,1350,117,951
Luca Wunsch,416060,DE,N/A,8,1,9,13,75,2,75,15,8.25,A 2.05,9302,1350,56,601
Aday Coba Lopez,119518,ES,N/A,4,1,5,4,193,2,46,22,5.5,A 4.12,9301,1350,44,771
Luca Alpert,462900,DE,N/A,1,0,18,25,15,0,3,0,13,A 3.31,9294,1350,0,15
Emil Bernstorff,61411,GB,N/A,291,208,3,2,162,277,4118,2535,2.52,A 4.98,9238,1350,2865,47174
Josh Lad,169151,GB,N/A,123,85,3,3,197,113,1505,1035,3.72,B 2.48,9231,1350,2545,24270
Michael Janney,444482,US,N/A,22,5,9,8,239,12,430,53,4.09,A 3.06,9224,1350,208,5255
Tamas Simon,348370,HU,N/A,31,15,4,6,205,23,598,269,4.45,A 3.67,9218,1350,465,6340
Kody Deith,499652,AU,N/A,42,13,5,7,151,28,506,157,4.86,A 2.57,9216,1315,172,6349
Mack Bakkum,116848,NL,N/A,1,0,18,10,98,0,12,0,8,A 4.21,9202,1350,4,98
Ben Fuller3,354033,US,N/A,1,0,8,5,199,1,65,8,17,A 3.81,9198,1350,11,199
Tim Matzke,302270,DE,N/A,2,1,2,2,119,2,39,27,1.5,A 4.99,9171,1350,20,237
Luke A Bennett,418116,GB,N/A,2,0,10,16,56,0,22,1,14,A 4.26,9147,1350,0,112
Edward A Samborski,171465,US,N/A,5,3,1,1,155,5,120,56,2.2,A 4.99,9141,1350,76,775
Pablo Espes,339980,ES,N/A,151,71,3,3,185,126,1781,748,4.02,A 3.07,9137,1293,1317,27946
Tuomas TÃ¤htelÃ¤,294483,FI,N/A,7,2,6,6,149,5,96,33,7.43,A 2.34,9124,1350,83,1041
Ricardo Rico R.,252689,ES,N/A,7,1,8,13,221,2,159,15,5.86,A 4.50,9072,1350,11,1550
Henry IE Moore,670905,GB,N/A,345,246,2,3,173,306,4011,3072,3.74,A 2.31,9061,1673,1926,59542
Moritz LÃ¶hner,244820,DE,N/A,50,14,5,7,140,33,541,205,5.96,P 1.30,9059,1318,549,6981
Edoardo Leo,717571,IT,N/A,4,1,13,16,227,2,116,29,6.75,A 4.25,9037,1350,0,907
Daniel Ferguson,292374,US,N/A,7,0,22,16,113,2,172,0,5,A 4.62,9024,1350,49,790
Timothy Friis Larsen,903220,NO,N/A,399,248,3,4,163,337,5458,3812,3.46,A 4.99,9016,1350,4142,65194
Martin Å tefanko,382529,CZ,N/A,173,154,1,1,158,167,1916,1702,1.86,A 4.69,9013,1350,2826,27270
David Toth,155293,HU,N/A,13,2,9,12,166,5,272,29,7.77,P 2.25,8995,1350,48,2160
Peter Zuba,290952,HU,N/A,4,1,4,4,188,3,66,17,6.25,A 3.43,8980,1350,51,750
Audrius Valantiejus,61947,LT,N/A,114,88,6,2,173,104,2350,1429,5.07,A 2.89,8943,1350,2159,19695
Daniel AntÃºnez,352617,ES,N/A,17,8,3,7,137,11,179,99,6.88,B 2.27,8897,1350,218,2337
Enzo Bonito,67157,IT,N/A,4,1,7,6,133,3,40,7,9.75,A 3.63,8848,1350,59,533
Jeff Giassi,237499,BR,N/A,16,1,8,7,199,10,243,13,4.44,A 3.57,8805,1350,189,3186
Lucas U. MÃ¼ller,430146,DE,N/A,1,0,3,2,145,1,9,0,5,A 4.30,8804,1350,0,145
Yoann Rouyer,365108,FR,N/A,2,1,9,5,168,1,21,12,8.5,A 3.07,8790,1350,26,335
Corentin Guinez,314974,FR,N/A,10,4,5,5,178,6,167,39,7.1,A 2.11,8789,1350,126,1776
Joel Granfors,384646,SE,N/A,2,1,5,2,164,2,26,19,1,A 2.72,8786,1350,41,328
Gordon Mutch,358202,GB,N/A,24,11,3,6,222,18,246,99,5.33,A 3.46,8768,1635,354,5336
Malte Ebdrup,436163,US,N/A,23,11,4,4,146,17,219,60,9.91,C 2.13,8763,1350,305,3355
Kane Halliburton,220103,GB,N/A,199,158,2,2,159,183,2097,1636,2.75,A 2.07,8762,1195,970,31655
Dan Amor,494559,GB,N/A,198,88,4,5,174,147,2517,1175,5.57,A 1.40,8732,1354,2339,34405
Lucas PÃ©rez,622235,ES,N/A,3,2,7,2,189,3,42,28,4,A 4.84,8729,1350,64,566
Elliott Vayron,421735,FR,N/A,43,12,9,7,196,24,748,194,8.42,P 2.34,8720,1350,437,8409
Tomi Katila,94445,FI,N/A,1,0,3,4,204,1,12,0,5,A 4.11,8714,1350,17,204
Hendrik Kruse,372547,DE,N/A,3,0,3,2,171,3,32,9,4.33,A 3.34,8712,1350,37,514
Mathias StokbÃ¦k Jensen,480939,DK,N/A,1,0,9,21,9,0,4,0,11,A 2.52,8708,1350,0,9
Alfredo R Malo,418461,ES,N/A,3,3,1,1,159,3,57,57,6,A 3.39,8676,1350,62,476
Elias Raikaa,370115,FI,N/A,6,2,2,5,154,4,67,45,6.5,A 4.15,8675,1350,55,925
Mehdi Kousha,1076779,AE,N/A,812,493,2,4,144,662,11902,8413,5.4,A 2.19,8666,1350,12260,116697
GaÃ«l Valero,393663,FR,N/A,80,35,4,6,157,54,1129,521,5.36,B 4.99,8654,1360,572,12580
Jordan Caruso,299233,AU,N/A,6,1,8,7,315,3,194,33,6.17,A 3.86,8652,1350,7,1890
Jere Lehtinen,476429,FI,N/A,21,3,3,5,167,15,248,69,5.48,B 2.58,8630,1350,315,3514
Andy Ratel,459156,FR,N/A,73,52,2,2,158,67,898,574,3.37,A 2.59,8627,1350,1149,11563
Joshua W Anderson,173316,AU,N/A,8,6,2,2,149,7,135,88,3,A 4.46,8612,1350,0,1194
Leo Brown,589720,GB,N/A,41,25,3,3,181,34,605,447,5.32,B 1.47,8603,2235,483,7438
Bono Huis,30287,NL,N/A,18,12,2,2,176,18,236,157,0.89,A 4.99,8600,1350,186,3166
Madison Down,50308,AU,N/A,7,5,1,1,150,7,65,46,0.71,A 4.99,8592,1350,91,1051
Fraser Williamson,176812,GB,N/A,28,11,4,4,129,21,348,146,5.64,B 2.35,8570,1350,365,3615
Jose Luis Mella,435444,ES,N/A,89,47,2,2,158,77,1256,617,3.89,B 3.95,8565,1350,984,14073
Marvin Strehl,347128,DE,N/A,2,0,12,15,95,0,10,0,9,A 4.44,8558,1350,11,189
Nathan A Moore,414557,GB,N/A,44,6,7,7,188,31,2353,177,1.23,A 4.99,8550,1350,484,8264
Maarten van Loozenoord,141923,NL,N/A,3,3,2,1,193,3,48,44,4.33,A 2.69,8544,1350,73,579
Samuel Michaels,509410,US,N/A,2,0,4,9,144,0,48,0,4,A 4.32,8527,1350,9,287
Valentin Kluss,432652,DE,N/A,248,149,3,3,166,216,3449,2082,4.95,B 3.36,8526,1350,3645,41216
Alex O'Grady,771747,IE,N/A,222,86,3,4,191,174,2622,996,5.23,A 3.28,8493,1388,3099,42508
Leo Ovtcharov,352300,US,N/A,252,186,1,2,138,235,3694,2859,2.92,A 4.52,8487,1393,4464,34836
Thibaud Prevot,288975,LU,N/A,12,0,9,15,107,2,86,2,8.92,B 1.45,8481,1350,35,1281
Graham Carroll,35491,GB,N/A,37,5,6,7,201,22,412,69,4.97,A 1.28,8471,1350,237,7449
Neil R Gardner,465957,NZ,N/A,1586,855,2,2,128,1332,18062,9348,1.65,A 4.46,8459,1568,10207,203660
Alessandro QuintaiÃ¨,725734,IT,N/A,18,6,2,5,182,13,212,74,7.22,B 2.33,8435,1350,302,3268
Lassi Juurinen,354245,FI,N/A,22,13,4,3,154,19,224,135,5.23,B 2.98,8432,1350,378,3397
Rafael D Leon,814387,US,N/A,28,16,2,2,169,28,435,238,1.89,A 4.99,8431,1350,426,4740
Maurizio Naselli,44255,DE,N/A,2,2,1,1,120,2,19,19,0,A 4.99,8418,1350,14,240
Gui LÃ©vesque,625522,CA,N/A,1,0,17,7,229,0,9,0,11,A 3.51,8405,1350,13,229
Nicolas Varrone,192964,AR,N/A,3,0,3,7,115,2,37,2,9.33,B 2.30,8397,1350,28,346
Tyler Hervias,47140,US,N/A,1,0,3,4,164,1,14,0,4,A 4.99,8359,1350,15,164
Guillaume LÃ©vesque,301241,CA,N/A,1,0,4,3,132,1,12,0,7,A 4.99,8351,1350,15,132
Andrew Caron,338424,CA,N/A,1,0,19,22,23,0,1,0,5,A 3.19,8347,1350,0,23
Matteo Ugolotti,107253,IT,N/A,11,4,13,8,108,7,168,62,7.36,B 2.57,8330,1350,109,1190
Yannick Lapchin,78137,FR,N/A,13,4,2,4,156,12,130,43,4,A 3.28,8324,1350,162,2023
Oscar Mangan,113622,IE,N/A,4,1,14,14,172,1,120,7,4.5,A 3.75,8309,1374,23,688
Lorenzo Manfredotti,440352,IT,N/A,4,1,2,7,151,3,116,45,4.75,A 4.57,8303,1350,40,603
Gianni M Lutzu,817050,AU,N/A,482,358,2,2,153,437,4857,3626,2.35,A 3.50,8301,1350,1937,73738
Lukas Lindqvist,202092,SE,N/A,4,0,10,7,143,1,28,6,10.5,A 3.11,8274,1350,33,572
Pablo Lazar2,293522,ES,N/A,18,4,3,7,139,11,173,64,8.33,B 2.50,8253,1350,210,2503
Jarad Syrkiewicz,338754,AU,N/A,1,0,6,3,207,1,11,0,9,A 4.43,8234,1350,16,207
Lukas Prada,279166,CZ,N/A,7,0,20,20,90,0,216,0,6.29,A 4.47,8230,1350,1,627
Sam Mcbride,694224,GB,N/A,49,23,4,3,184,44,705,358,4.18,A 2.57,8214,1350,778,8997
Philip Kraus,114993,US,N/A,59,40,5,4,223,50,2485,1334,5.36,P 3.16,8212,1350,864,13129
Andrea Bristot,512281,IT,N/A,8,1,16,12,107,2,81,15,11.75,C 2.21,8209,1350,57,857
Ulas Ozyildirim,428039,TR,N/A,5,3,2,7,139,3,65,40,12,C 2.41,8196,1350,64,697
Pascal Stix,138308,AT,N/A,11,2,5,7,185,8,631,81,5.82,A 4.49,8181,1350,160,2037
Thomas Labouteley,695257,FR,N/A,1,0,2,2,90,1,11,0,10,A 3.35,8175,1350,6,90
Taito Kato,484347,JP,N/A,48,28,2,2,181,46,594,405,6,B 2.72,8154,1350,983,8670
Jesse TelkkÃ¤lÃ¤,358518,FI,N/A,5,0,11,10,182,2,50,0,9.4,A 2.40,8140,1350,18,909
Javier Perezz,283764,ES,N/A,268,132,3,4,174,232,3215,1675,3.66,A 3.81,8129,1350,4917,46554
Zac Campbell,142748,US,N/A,1,0,3,5,395,1,40,0,0,A 4.99,8110,1350,0,395
Edoardo Radis,389698,IT,N/A,171,111,3,3,172,147,7607,4257,5.77,A 4.95,8104,1350,1642,29421
Tim Hendrixen,270824,NL,N/A,88,47,2,4,161,65,1192,742,3.75,C 4.48,8102,1318,824,14128
Sam Michaels,16637,US,N/A,1,0,31,23,131,0,40,0,0,A 4.99,8097,1350,0,131
Michal Rak,421772,PL,N/A,2,0,18,6,112,1,37,0,13.5,A 2.50,8085,1350,22,223
Niko Wierzbicki,364796,PL,N/A,5,0,25,22,128,0,182,0,7.2,A 3.28,8084,1350,0,638
Dino Filippa,272454,AR,N/A,67,22,4,5,155,52,850,243,6.93,A 3.28,8075,1389,497,10364
Hayata Asaga,223954,JP,N/A,20,3,6,5,175,13,310,34,4.45,A 2.65,8067,1350,205,3502
Nathan Olson,202872,US,N/A,2,1,10,8,76,1,24,15,3,A 4.99,8055,1350,23,152
JosÃ© I. Soria,295288,ES,N/A,5,0,8,9,328,3,182,1,4.8,A 4.46,8054,1350,0,1641
Liam McNeilly,95767,GB,N/A,3,1,6,9,125,1,16,9,8.67,A 2.23,8043,1350,29,376
Jorge D.Garcia,312905,US,N/A,1,0,5,9,130,0,13,0,4,A 4.99,8031,1350,7,130
Zachary Rivard,42915,US,N/A,110,56,3,2,140,91,1400,657,2.67,A 3.96,8030,1350,659,15442
Linus Stjernelund,740293,SE,N/A,17,12,4,3,156,16,217,162,4.65,A 2.42,8025,1350,301,2647
Eneric Andre,257789,FR,N/A,2,1,11,4,101,1,29,11,3,A 4.99,8024,1350,24,201
Leon Penn,335245,GB,N/A,3,2,4,4,183,2,43,14,9.33,A 2.32,8024,1350,49,549
Sho Taira,577805,JP,N/A,49,31,2,4,179,43,639,456,3.59,A 3.60,8018,5228,918,8782
Mirai Nishida,963314,JP,N/A,368,267,2,2,121,332,4295,3110,2.87,B 4.99,8018,1350,4156,44617
Neto Nascimento,115035,BR,N/A,1,0,10,9,115,0,12,0,6,A 3.02,8011,1350,0,115
Thijs J Simons,419450,NL,N/A,6,0,9,12,84,2,62,0,13.67,B 2.13,8007,1350,45,501
Juan Bleynat,285828,AR,N/A,7,4,3,2,174,7,80,49,3.43,A 2.53,8006,1350,90,1216
Oliver Stone,888170,GB,N/A,309,158,3,4,147,254,3106,1467,4.01,A 2.34,8006,1248,1902,45332
Taylor Barnard,503350,GB,N/A,47,16,9,7,135,29,375,120,9,D 1.34,8004,1350,598,6342
Adrien Leidinger,614868,FR,N/A,14,10,2,4,209,11,180,122,2,A 4.99,8002,1350,280,2929
Adam Blocker,204032,US,N/A,25,8,3,4,206,21,809,227,3.44,A 4.67,8001,1350,361,5146
Martin Kadlecik,852591,CZ,N/A,18,10,1,3,185,15,212,130,5.39,A 2.12,7997,1350,332,3325
Matt J Caruana,487540,GB,N/A,75,39,2,4,187,62,686,345,6.83,B 2.13,7973,1273,600,14036
Naveed Hussain,414946,IE,N/A,5,2,3,7,136,4,77,20,7.8,A 2.13,7972,1350,84,678
Tom Reiher,338231,DE,N/A,3,0,13,19,28,0,24,2,10.33,A 3.17,7967,1350,0,84
Dennis Johansen,34512,DK,N/A,581,351,3,2,125,492,8098,4373,6.27,C 1.68,7965,1350,5347,72818
Pietari Poikela,381063,FI,N/A,7,0,6,9,99,3,85,12,4.71,A 3.32,7959,1350,59,691
Hugh Barter,442130,AU,N/A,55,10,5,8,160,29,646,139,10.11,D 2.17,7949,1394,628,8825
Jaume Dalmases Torres,209451,ES,N/A,4,0,10,14,63,0,29,0,7,A 2.50,7940,1350,7,253
Ralph Benitez,98538,BR,N/A,49,14,4,5,193,37,661,191,3.98,A 2.33,7939,1350,582,9452
Jacob Reid4,601860,GB,N/A,195,76,5,5,191,156,4893,1760,3.69,A 4.72,7933,1350,3059,37270
Kristof Kerekes,71606,SA,N/A,2,0,9,3,154,2,19,1,10,B 2.22,7929,1350,0,308
Michael Polasek,155121,US,N/A,4,1,8,7,146,2,48,12,8.5,B 2.56,7919,1350,47,584
Oscar Chinchilla Maza3,847052,ES,N/A,215,153,1,2,136,202,1928,1361,3.87,C 3.32,7907,1350,223,29266
Carlos Diegues,159005,PT,N/A,1,0,26,32,0,0,0,0,4,A 2.39,7906,1350,0,0
Oscar Py,504982,FR,N/A,19,5,6,9,145,7,321,153,7.16,A 3.84,7906,1350,116,2764
Joss Marie,494644,IT,N/A,603,437,2,2,137,528,7093,5259,3.35,B 3.61,7901,1350,3468,82668
Hans Jakob Sivertsen Mollatt,806201,NO,N/A,860,516,2,3,130,713,7899,4941,3.6,B 4.19,7900,1417,1895,112100
Gabriele Mini,611513,IT,N/A,3,2,2,1,198,3,40,33,6,A 4.28,7888,1350,59,595
Jan Saamer,394854,DE,N/A,1,0,1,5,117,0,16,0,8,A 4.19,7886,1350,8,117
Tomoyasu Inatani,352468,JP,N/A,2,0,4,18,7,0,8,0,9.5,A 2.49,7885,1350,0,14
Karl Dronke,206971,US,N/A,1049,565,2,2,117,886,14845,8235,3.2,A 1.41,7879,2082,9854,122624
Rehan Liyanage,462687,AU,N/A,2,0,3,3,147,0,18,0,1.5,B 4.88,7873,1350,0,294
Kamil Franczak,122154,PL,N/A,3,2,2,1,163,3,46,44,3,A 2.26,7867,1350,0,490
Miguel Costa5,810818,MC,N/A,32,8,4,7,183,23,318,125,6.66,A 2.55,7865,1290,0,5859
Xander Reed,343397,US,N/A,13,5,4,4,219,8,136,62,4.46,A 2.46,7850,1350,15,2843
Hady-Noah Mimassi,764006,GB,N/A,546,265,3,5,168,448,6439,3676,5.49,C 2.10,7821,1269,9067,91966
Santeri Martikainen,808670,FI,N/A,15,5,3,5,119,10,220,105,5.6,A 2.59,7817,1350,182,1784
Philip Koenig,230399,US,N/A,2,0,24,20,81,0,17,0,6.5,A 4.92,7810,1350,0,162
Victor Miranda,50693,BR,N/A,30,5,7,8,191,15,368,77,5.3,A 1.46,7809,1350,169,5743
Marijn Kremers,443566,NL,N/A,422,252,4,4,151,355,6417,3770,5.58,B 3.72,7806,1350,4421,63656
Sergio Macias,198525,ES,N/A,77,35,2,3,157,69,1689,791,4.23,A 3.66,7793,1350,1152,12120
Tim Delisle,209140,AU,N/A,9,0,3,7,134,7,123,0,4.89,A 2.33,7787,1350,125,1207
Bobby Zalenski,125400,US,N/A,5,0,18,24,99,0,166,0,4.8,A 3.70,7786,1350,0,496
Kevin Birrell,540753,JP,N/A,149,64,4,4,178,127,5371,1842,3.09,A 4.36,7784,1350,2046,26509
Max RiedmÃ¼ller,220620,AT,N/A,55,40,1,2,152,49,1350,981,7.78,A 2.62,7784,1350,801,8362
Fabian Hochstatter,308917,DE,N/A,2,0,14,10,110,0,28,0,8,A 3.30,7780,1350,14,219
Julien Soenen,416197,BE,N/A,6,0,9,15,96,1,61,0,10,B 2.28,7778,1350,30,573
Alex McKellar,192550,AU,N/A,17,15,1,1,101,16,262,233,1.18,A 4.99,7775,2361,154,1722
Erind Baba,381535,BE,N/A,7,0,9,13,142,2,58,0,7.57,A 2.41,7765,1350,0,996
Austin Winner,101948,US,N/A,1,0,3,2,158,1,16,0,1,A 4.89,7755,1350,0,158
Otis Lawrence,865626,GB,N/A,68,51,1,3,193,62,915,695,3.97,A 4.39,7747,1350,1344,13098
Jesper SandstrÃ¶m,379958,SE,N/A,17,9,2,2,224,17,311,175,2,A 4.76,7743,1350,391,3800
Alberto Senao,142818,ES,N/A,10,1,10,11,122,4,88,13,7.2,B 2.20,7739,1350,101,1222
Remy Gilbert,821626,GB,N/A,40,18,3,5,188,31,478,198,6.93,C 1.74,7737,1350,457,7539
Thiago Spencer,256329,BR,N/A,201,107,2,3,158,178,3541,2201,4.37,A 2.64,7733,1350,2989,31831
Pauli Kalevi Partanen,385691,FI,N/A,136,76,2,4,161,117,2806,1920,4.3,A 3.15,7732,1350,2738,21841
Oskari Kaakinen,545329,FI,N/A,7,0,11,10,171,2,64,0,9.57,B 1.34,7732,1350,0,1194
Leo E. Ovtcharov,1117326,US,N/A,327,241,1,2,122,302,4071,3006,2.7,C 4.99,7723,1367,4157,39883
Brandon Hawkin,206068,CA,N/A,1,1,2,1,165,1,12,10,4,A 3.57,7694,1350,18,165
Robin Maas2,493177,NL,N/A,3,0,8,16,59,1,18,0,10.67,A 2.20,7679,1350,16,178
Maxim Ramsteijn,97564,NL,N/A,1,0,10,11,194,0,55,0,2,A 4.99,7674,1350,6,194
Lucas Camba Moreiro,545183,ES,N/A,20,4,3,5,182,15,185,43,7.25,B 2.11,7667,1288,280,3637
Hikaru Sasaki,610693,JP,N/A,5,5,1,1,149,5,73,65,2.6,A 3.79,7652,1350,109,745
Norbert Sulzer,36322,AT,N/A,7,2,3,3,158,6,108,49,3.29,A 4.30,7648,1350,115,1107
Niels RÃ¶ttele,516880,DE,N/A,3,1,7,9,215,1,24,5,12,A 3.14,7647,1350,0,645
Dimitri Philippides,351959,TH,N/A,126,67,2,2,133,105,1261,755,1.79,A 3.34,7645,1350,416,16780
Rodrigo Meezs,258482,CL,N/A,3,0,14,12,65,0,30,0,11,B 2.28,7635,1350,0,194
Jo Vegard Goderstad,359201,NO,N/A,2,0,9,7,168,1,20,0,5.5,A 4.18,7629,1350,22,336
James R Burn,214735,US,N/A,192,86,4,4,173,143,5961,2376,4.77,A 4.99,7624,1390,2171,33165
Ivan Machado Perez,327883,ES,N/A,24,13,5,6,133,16,283,123,5.46,A 2.61,7623,1350,325,3186
Felipe Pujol Dantas,546683,BR,N/A,32,6,5,6,211,20,413,66,4.19,A 2.10,7613,1350,257,6767
Thomas Haglestein,369542,BE,N/A,3,1,9,4,124,1,24,8,7.67,A 2.29,7612,1350,32,371
Manel Cubo Torres,358815,ES,N/A,5,0,22,17,180,1,182,0,2.6,A 4.99,7605,1350,0,902
Nikolaj Rogivue,418135,CH,N/A,182,107,2,3,167,163,2955,1783,4.12,A 1.61,7603,1350,2741,30445
Hector J Rodriguez,573321,US,N/A,7,3,5,10,75,3,44,27,6.29,B 2.52,7595,1350,67,522
Fabrizio Belziti,521975,AR,N/A,102,72,2,2,135,93,1270,889,4.67,B 2.70,7594,1350,1044,13788
Denis Robin Wolf,708185,DE,N/A,10,3,2,3,161,8,160,61,4.8,A 3.19,7588,1350,83,1612
Riley Jacob,746851,US,N/A,4,4,1,1,139,4,114,97,4.5,A 4.73,7584,1350,65,554
Oskar Biksrud,416217,NO,N/A,6,1,5,11,106,2,70,13,7.83,A 2.18,7583,1350,53,638
Oscar Chinchilla,409803,ES,N/A,263,183,1,2,136,225,2372,1668,3.22,C 3.20,7577,1350,69,35805
Tero Hietanen,279711,FI,N/A,833,227,3,3,106,532,11872,3679,2.9,A 3.35,7576,2165,5252,87915
Brent Ruiz,679557,US,N/A,244,123,4,4,153,201,4124,2180,6.5,B 3.33,7556,1350,3660,37263
Dylan Birse,367245,AU,N/A,30,3,6,7,136,18,351,60,8.43,C 2.16,7548,1350,284,4081
Marcus Terkildsen,160959,DK,N/A,514,222,7,6,122,354,6600,3235,6.78,A 3.00,7542,1298,6589,62507
Theodore Burns,242356,US,N/A,28,21,2,2,132,24,381,327,1.18,A 4.90,7539,1350,307,3689
Mirko Bortolotti,421827,AT,N/A,7,3,2,2,144,7,93,45,1.57,A 4.76,7536,1350,130,1010
